Price Per Square Foot,Address
$15.95/sqft,"#1-2 -306 REXDALE BLVD, Toronto, Ontario"
$15.95/sqft,"#1-2 -306 REXDALE BLVD, Toronto, Ontario"
$15/sqft,"1610 CONCESSION RD. 7 RD, Clarington, Ontario"
$39/sqft,"#107 -213 STERLING RD, Toronto, Ontario"
$18.95/sqft,"U 1 21 RODINEA RD, Vaughan, Ontario"
$35/Monthly,"#400 -745 DANFORTH AVE, Toronto, Ontario"
$14/sqft,"#2NDFL -55 ATHOL ST E, Oshawa, Ontario"
$18/sqft,"#W200 -1555 WENTWORTH ST, Whitby, Ontario"
$0.01/Monthly,"#200 -573 KING ST E, Toronto, Ontario"
$1/Monthly,"1321 MATHESON BLVD E, Mississauga, Ontario"
$10/sqft,"#101/104 -3173 ERINDALE STATION RD, Mississauga, Ontario"
$50/Monthly,"1346 QUEEN ST W, Toronto, Ontario"
$1/Monthly,"1321 MATHESON BLVD, Mississauga, Ontario"
$17.85/sqft,"1035 BROCK Road, Pickering, Ontario"
$29/Monthly,"#505 -555 RICHMOND ST, Toronto, Ontario"
$12.95/sqft,"8-9&11 845 Harrington Court, Burlington, Ontario"
$12.95/sqft,"8-9&11 845 Harrington Court, Burlington, Ontario"
$35/sqft,"2050 QUEEN ST E, Toronto, Ontario"
$25/sqft,"100 DUFFLAW RD, Toronto, Ontario"
"$22,000/Monthly","128 PETER ST, Toronto, Ontario"
$21.50/sqft,"#4TH FL -2988 BRISTOL CIRC, Oakville, Ontario"
$21.50/sqft,"#3RD FL -2988 BRISTOL CIRC, Oakville, Ontario"
$21.50/sqft,"#2ND FL -2988 BRISTOL CIRC, Oakville, Ontario"
$65/sqft,"175 AVENUE RD, Toronto, Ontario"
