DATE,GROSS AMOUNT,DISCOUNTS,TAXES,TOTAL ON HAND
2017-11-19,64403,6134,7574,66154
2017-11-27,62929,6637,7318,63610
2017-12-04,69804,5643,8339,72643
2017-12-11,71007,6831,8342,72518
2017-12-18,66645,5588,7937,68994
2017-12-25,57952,2627,7192,62517
2018-01-01,40800,2359,4998,43440
2018-01-08,40237,2748,4874,42362
2018-01-15,53465,5638,6217,54044
2018-01-22,51018,2931,6251,54338
2018-01-29,49608,3218,6083,52872
2018-02-05,45803,1754,5726,49885
2018-02-12,63935,3467,7861,68329
2018-02-19,58063,2957,7164,62271
2018-02-26,51711,2988,6334,55056
2018-03-05,53596,3395,6625,56780
2018-03-12,56728,3764,6885,60025
2018-03-19,51567,3729,6218,54296
2018-03-26,47030,4135,5612,48779
2018-04-02,53794,5836,6234,54367
2018-04-09,49180,7236,5452,47445
2018-04-16,54452,3592,6611,57471
2018-04-23,67742,4503,8220,71460
2018-05-01,57795,4155,6972,60611
2018-05-07,70352,2972,8759,77028
2018-05-14,60398,3177,7439,64911
2018-05-21,58137,2591,7220,62803
2018-05-28,56585,3214,6938,60309
2018-06-04,69790,4741,8456,73608
2018-06-11,69012,3709,8489,73791
2018-06-18,78175,7033,9248,80389
2018-06-25,69495,3484,8580,74649
2018-07-02,53525,2485,6635,57769
2018-07-09,55429,3356,6769,58842
2018-07-16,60160,2989,7431,64602
2018-07-23,58977,3025,7274,63226
2018-07-30,58814,2622,7305,63522
2018-08-06,57123,3130,7019,61151
2018-08-13,82887,3613,7704,66978
2018-08-20,58449,2871,7224,62802
2018-08-27,68037,4473,8263,71826
2018-09-03,62148,3710,7597,66067
2018-09-10,59977,3255,7373,64150
2018-09-17,55662,3337,6801,59126
2018-09-24,53634,2453,6653,58154
2018-10-01,43770,2153,5410,47028
2018-10-08,50921,2338,6316,54898
2018-10-15,53742,2489,6662,57915
2018-10-22,51052,3339,6202,54304
2018-10-29,43834,2337,5394,46891
2018-11-05,49840,2603,6140,53378
2018-11-12,48574,2807,5949,51715
2018-11-19,47407,2868,5790,50329
2018-11-26,56113,3849,6794,59058
2018-12-03,56302,3942,6807,59167
2018-12-10,66057,2578,8251,71924
2018-12-17,77863,2509,6805,82159
2018-12-24,49066,2221,6089,52935
2018-12-31,53330,3580,6468,56218
2019-01-07,40107,1994,4953,43196
2019-01-14,43005,2048,5324,46281
2019-01-21,48102,3723,5769,50148
2019-01-28,39931,2630,4847,42149
2019-02-04,47092,2061,5854,50886
2019-02-11,52013,2073,6492,56433
2019-02-18,50242,3630,6060,52671
2019-02-25,55743,8945,6083,53195
2019-03-04,53422,2093,6672,58220
2019-03-11,49761,2433,6152,53480
2019-03-18,52773,4810,6233,54195
2019-03-25,44227,3290,5327,46368
2019-04-01,49363,3621,5944,51685
2019-04-08,45338,2459,5574,48454
2019-04-15,50443,8123,4325,48139
2019-04-22,56941,3500,6947,60387
2019-04-29,58254,6109,6778,58923
2019-05-06,83480,7468,9881,85892
2019-05-13,48783,2669,5954,52109
2019-05-20,58054,6266,6732,58519
2019-05-27,59261,5839,6943,60365
2019-06-03,61719,10635,6641,57724
2019-06-10,72517,5557,8704,75730
2019-06-17,68127,3408,8413,73135
2019-06-24,66967,5096,8042,69913
2019-07-01,53401,2288,6645,57832
2019-07-08,58509,4436,7027,61210
2019-07-15,51394,3647,6207,54082
2019-07-22,70386,6644,8285,72027
2019-07-29,58958,3745,7177,62390
2019-08-05,61783,4852,7400,64331
2019-08-12,66885,5624,7963,69224
2019-08-19,65926,2389,8359,71797
2019-08-26,67258,2848,8373,73005
2019-09-02,57829,3075,7117,61871
2019-09-09,60014,3101,7397,64426
2019-09-16,60896,2341,7612,66167
2019-09-23,63724,6284,7466,65381
2019-09-30,48365,2758,5928,51535
2019-10-07,47134,2791,5764,50108
2019-10-14,56174,3251,6880,59802
2019-10-21,56808,6870,6491,56430
2019-10-28,56248,3458,6862,59652
2019-11-04,56056,5356,6590,57291
2019-11-11,55387,4139,6662,57964
2019-11-18,58513,7581,6620,57665
2019-11-25,60156,7785,6808,59464
2019-12-02,73057,16146,7396,60595
2019-12-09,70227,7773,8118,71138
2019-12-16,92068,30350,8021,70197
2019-12-23,47863,2665,5875,51390
2019-12-30,54401,2935,6690,58465
2020-01-06,43411,2230,5353,46587
