Address,Price per square foot,Lat,Lon,Neighbourhood
"#3 -1333 THORNTON RD S, Oshawa, Ontario",12,43.8927568,-78.89109637,Stevenson-607
"#1-2 -306 REXDALE BLVD, Toronto, Ontario",15.95,43.71566655,-79.57766533,West Humber-Clairville-093
"#3-4 -306 REXDALE BLVD, Toronto, Ontario",15.95,43.71566655,-79.57766533,West Humber-Clairville-093
"#107 -213 STERLING RD, Toronto, Ontario",39,43.6543419,-79.44477472,Dufferin Grove-952
"U 1 21 RODINEA RD, Vaughan, Ontario",18.95,43.87484986,-79.50980514,Kleinburg-192
"#400 -745 DANFORTH AVE, Toronto, Ontario",35,43.68459038,-79.33787624,Blake-Jones-712
"#W200 -1555 WENTWORTH ST, Whitby, Ontario",18,43.86002933,-78.89584125,Whitby-016
"#200 -573 KING ST E, Toronto, Ontario",66,43.64920555,-79.38443749,Moss Park-230
"1321 MATHESON BLVD E, Mississauga, Ontario",22,43.63982479,-79.63298377,Northeast (West)-021
"#101/104 -3173 ERINDALE STATION RD, Mississauga, Ontario",10,43.56625491,-79.71030638,Mississauga-896
"1346 QUEEN ST W, Toronto, Ontario",50,43.64172983,-79.4321196,Roncesvalles-667
"1321 MATHESON BLVD, Mississauga, Ontario",21,43.63984808,-79.63300523,Northeast (West)-021
"1035 BROCK Road, Pickering, Ontario",17.85,43.83553838,-79.06792546,Brock Industrial-545
"#505 -555 RICHMOND ST, Toronto, Ontario",29,43.64802087,-79.39587207,Waterfront Communities-The Island-870
"2050 QUEEN ST E, Toronto, Ontario",35,43.67104743,-79.2977643,The Beaches-803
"100 DUFFLAW RD, Toronto, Ontario",25,43.71810784,-79.46331909,Yorkdale-Glen Park-295
"128 PETER ST, Toronto, Ontario",22,43.64842866,-79.39352795,Waterfront Communities-The Island-841
"#4TH FL -2988 BRISTOL CIRC, Oakville, Ontario",21.5,43.51492059,-79.6748315,Winston Park-760
"#3RD FL -2988 BRISTOL CIRC, Oakville, Ontario",21.5,43.51492059,-79.6748315,Winston Park-760
"#2ND FL -2988 BRISTOL CIRC, Oakville, Ontario",21.5,43.51492059,-79.6748315,Winston Park-760
"175 AVENUE RD, Toronto, Ontario",65,43.67514616,-79.39643439,St.Andrew-Windfields-620
"#1F & LL -577 YONGE ST, Toronto, Ontario",65,43.74880454,-79.40774224,Church-Yonge Corridor-623
"71 KINCORT ST, Toronto, Ontario",18,43.6993224,-79.46810397,Beechborough-Greenbrook-2210
"863 KIPLING AVE, Toronto, Ontario",19.75,43.63503617,-79.53168053,Islington-City Centre West-664
"#111 -5450 EXPLORER DR, Mississauga, Ontario",17,43.66158107,-79.60799062,Northeast (West)-021
"#2ND FLR -5700 EXPLORER DR, Mississauga, Ontario",12.5,43.65987492,-79.61127255,Northeast (West)-021
"#STE 2 -340 FERRIER ST, Markham, Ontario",12,43.82120849,-79.33107509,Milliken West-747
"#202 -2085 HURONTARIO ST, Mississauga, Ontario",16.5,43.61641877,-79.64937614,Dt Hospital-457
"#308 -2085 HURONTARIO ST, Mississauga, Ontario",16.5,43.61641877,-79.64937614,Dt Hospital-457
"80 WHITEHALL DR, Markham, Ontario",17,43.85833179,-79.34636896,Buttonville-106
"#200 -280-350 HARWOOD AVE S, Ajax, Ontario",8.5,43.85593252,-79.02326759,Central Employment Area-586
"#201B -280-350 HARWOOD AVE S, Ajax, Ontario",8.5,43.84426276,-79.01848641,Central Employment Area-586
,15.5,43.84443299,-79.01850785,Waterfront Communities-The Island-842
"#407 -111 PETER ST, Toronto, Ontario",37,43.64816592,-79.39334745,Waterfront Communities-The Island-842
"#300 -10 CARLSON CRT, Toronto, Ontario",18.5,43.64917242,-79.39378158,West Humber-Clairville-479
"#301 -10 CARLSON CRT, Toronto, Ontario",18.5,43.64917242,-79.39378158,West Humber-Clairville-479
"#105 -146 THIRTIETH ST, Toronto, Ontario",17,43.65018652,-79.38621513,Alderwood-593
"#204 -2680 MATHESON BLVD E, Mississauga, Ontario",17,43.68062404,-79.60283142,Northeast (West)-021
"#400 -3800 STEELES AVE W, Vaughan, Ontario",13,43.78430918,-79.50705916,Woodbridge East-254
"#606 -111 PETER ST, Toronto, Ontario",37,43.66654403,-79.3906847,Waterfront Communities-The Island-842
"505 WENTWORTH ST W, Oshawa, Ontario",10.25,43.86794433,-78.85784828,Stevenson-607
"#300 C&D -2131 LAWRENCE AVE E, Toronto, Ontario",4.5,43.7527742,-79.26009982,Bridle Path-Sunnybrook-York Mills-047
"42 COLBORNE ST, Toronto, Ontario",65,43.75273545,-79.26007836,Church-Yonge Corridor-022
"#302-303 -2171 AVENUE RD, Toronto, Ontario",21.5,43.64929834,-79.37524929,Newmarket Quaker Hill/Haskett Park-895
"#802 -150 COMMERCE VALLEY DR W, Markham, Ontario",19,43.84552642,-79.38579937,Markham West-433
"#400 -2010 WINSTON PARK DR, Oakville, Ontario",17,43.51662541,-79.68359605,Winston Park-760
"#400 -65 OVERLEA BLVD, Toronto, Ontario",13,43.79022252,-79.35243632,Thorncliffe Park-073
"#410 -65 OVERLEA BLVD, Toronto, Ontario",13,43.79022252,-79.35243632,Thorncliffe Park-073
